Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,labeling,Industry Distribution
서울특별시 은평구,I,1989,8704,1970,9076,2213,10001,1641,7244,1754,7754,1876,8443,I,0.12715552945074474
서울특별시 은평구,J,98,969,102,851,100,948,109,1162,137,856,184,1064,I,0.016024337715929458
서울특별시 은평구,K,152,2419,151,2343,142,2016,138,1925,137,2075,136,1942,I,0.029247428425126884
서울특별시 은평구,L,499,2290,488,2187,536,2284,467,2018,535,2387,532,2125,I,0.03200349402852452
서울특별시 은평구,M,232,1798,245,2020,266,2276,251,2202,322,2645,336,2665,I,0.040136146628714287
서울특별시 은평구,N,141,1657,149,1638,159,1545,137,1406,181,2011,177,1764,I,0.02656666516061989
서울특별시 은평구,P,724,6089,721,6130,735,6328,652,5941,663,6010,668,5782,I,0.08707962469314297
서울특별시 은평구,Q,1125,12338,1144,13068,1158,15538,1157,15987,1199,17295,1224,18392,I,0.27699212337535206
서울특별시 은평구,R,309,1600,297,1654,330,1902,215,1377,240,1356,269,1515,I,0.02281660868386572
서울특별시 은평구,S,926,3413,917,3414,1022,3524,831,2922,803,3028,788,2803,I,0.042214491182096116
서울특별시 서대문구,A,1,1,1,3,1,1,0,0,0,0,0,0,D,0.0
서울특별시 서대문구,B,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
서울특별시 서대문구,C,389,2230,338,2029,349,2108,324,1848,284,1531,300,1560,D,0.017959728762045105
서울특별시 서대문구,D,2,51,4,69,3,52,2,51,2,49,1,46,D,0.0005295817455474839
서울특별시 서대문구,E,11,181,9,182,9,188,10,203,6,144,9,205,D,0.0023600925616790044
서울특별시 서대문구,F,350,4402,323,3653,337,3851,237,3227,214,3432,246,4797,D,0.055226165943288705
서울특별시 서대문구,G,1754,11578,1628,11028,1782,10594,1561,9383,1461,9659,1423,8808,D,0.10140339162570083
서울특별시 서대문구,H,128,3428,131,3133,135,2701,118,2404,119,2252,102,2107,D,0.02425714647540323
서울특별시 서대문구,I,2363,11204,2224,11428,2412,11513,1789,8368,1853,8665,1890,9272,D,0.10674525966774502
서울특별시 서대문구,J,257,2549,253,2447,291,3058,312,2879,327,3343,426,3754,D,0.04321847549533162
서울특별시 서대문구,K,195,4778,166,4052,171,5557,165,3670,160,3679,160,3510,D,0.04040938971460149
서울특별시 서대문구,L,405,1926,393,1918,438,2032,409,1953,340,1589,344,1464,D,0.016854514684380793
서울특별시 서대문구,M,380,5692,390,5870,428,6349,415,6401,459,7037,529,8150,D,0.09382807013504335
서울특별시 서대문구,N,301,6831,299,6549,306,6428,250,5161,231,5510,255,5291,D,0.06091341338460299
서울특별시 서대문구,P,641,16685,597,16319,613,18143,560,17674,516,16238,556,17483,D,0.2012756012479709
